title,decision,total_score,q1_score,q2_score,q3_score,q4_score,q5_score,exclusion_reason,doi,source_database,created_at
"Pontoon Launch Channel Analysis, Design and Performance",DOUBT,7,2,2,1,0,2,"Potential relevance; needs human review. (AI Note: Civil engineering project focuses on pontoon design and construction in a river and estuary, not marine pollution.)",10.1061/9780784413067.051,OpenAlex,2026-03-02 22:52:15.208201+00
A Simple Method to Show the Economic and Educational Value of Wildlife and Wildlands,DOUBT,7,2,2,2,0,1,Potential relevance; needs human review. (AI Note: This article describes a method for calculating the economic and educational value of a specific estuary and doesn't focus on oil pollution.),10.1002/bes2.1363,OpenAlex,2026-03-02 22:50:29.620224+00
Evaluation of Potential JHSV Port and Alternative Offload Sites in Coastal North Carolina,DOUBT,7,2,1,2,0,2,"Potential relevance; needs human review. (AI Note: This paper evaluates port and nonconventional offload sites in coastal North Carolina, focusing on throughput rates and infrastructure limitations, but does not examine marine pollution.)",10.21236/ada453994,OpenAlex,2026-03-02 22:52:16.744429+00
"Water Quality Evaluation With Entropy Weight‒Grey Correlation Technique for Fishing Operation Area in Tianjin, China",DOUBT,7,2,1,1,1,2,Potential relevance; needs human review. (AI Note: This paper presents an empirical study evaluating water quality in fishing operation areas using a novel entropy weight-grey correlation technique.),10.1002/clen.202300356,OpenAlex,2026-03-02 22:52:07.005846+00
"LEVELS OF TRACE METALS IN MARINE MACRO ALGAE FROM BITTER LAKES, SUEZ CANAL, EGYPT,",DOUBT,7,2,1,2,0,2,Potential relevance; needs human review. (AI Note: The study focuses on trace metal levels in algae from the Suez Canal.),10.21608/ejabf.2007.1926,OpenAlex,2026-03-02 22:50:20.83932+00
"Surface sediments of Richards Bay Harbour, South Africa &amp;#8211; potential pollutants (heavy metals, persistent organic pollutants, microplastics) and grainsize distribution",DOUBT,7,2,1,2,0,2,"Potential relevance; needs human review. (AI Note: This paper presents an empirical study of heavy metals, POPs, and microplastics in harbor sediments.)",10.5194/egusphere-egu2020-1623,OpenAlex,2026-03-02 22:52:17.017271+00
Emission from international sea transportation and environmental impact,DOUBT,7,1,1,2,1,2,Potential relevance; needs human review. (AI Note: This paper presents a modeling study of ship emissions and their impact on atmospheric composition and radiative forcing.),10.1029/2002jd002898,OpenAlex,2026-03-02 22:50:33.112635+00
Modelling spatial dispersion of contaminants from shipping lanes in the Baltic Sea,DOUBT,7,1,1,2,1,2,"Potential relevance; needs human review. (AI Note: The study models the spatial dispersion of various contaminants from shipping lanes in the Baltic Sea, using quantitative methods based on empirical data.)",10.1016/j.marpolbul.2021.112985,OpenAlex,2026-03-02 22:49:37.003789+00
Fluid Mud and Nautical Bottom – Concept and Application in Itajaí Port Complex (Brazil),DOUBT,7,2,1,2,0,2,Potential relevance; needs human review. (AI Note: Study analyzes fluid mud thickness variations using bathymetric surveys and numerical modeling in a port complex.),10.12716/1001.13.02.24,OpenAlex,2026-03-02 22:52:09.677514+00
Marine Pollution of Chemicals Detergents Contamination Induced Apoptosis and Necrosis in Fish Liver (Sardine aurita) by Flow Cytometry DNA Measurements,DOUBT,7,1,0,2,2,2,Potential relevance; needs human review. (AI Note: This is an original study about detergent-induced DNA damage in fish.),10.32861/jbr.511.113.122,OpenAlex,2026-03-02 22:51:28.525932+00
"Another dolphin in peril? Photo‐identification, occurrence, and distribution of the endangered Indian Ocean humpback dolphin (<scp><i>Sousa plumbea</i></scp>) in Algoa Bay",DOUBT,7,2,1,2,0,2,Potential relevance; needs human review. (AI Note: The study focuses on dolphin populations and behaviors in a coastal bay area.),10.1002/aqc.2877,OpenAlex,2026-03-02 22:50:16.872018+00
Ecotourism impacts on reef fishes in a marine reserve during the <scp>COVID</scp>‐19 era,DOUBT,7,1,2,2,0,2,Potential relevance; needs human review. (AI Note: This paper evaluates the impact of ecotourism (presence of divers and noise from recreational vessels) on fish density in a marine reserve in Mexico during the COVID-19 pandemic.),10.1002/fee.2657,OpenAlex,2026-03-02 22:50:16.632672+00
Spatio-temporal distribution of sergestid shrimp Acetes intermedius in the coastal waters of southwestern Taiwan,DOUBT,7,2,2,1,0,2,Potential relevance; needs human review. (AI Note: This paper presents an empirical study of shrimp populations using commercial fishing vessels in coastal Taiwan.),10.1046/j.1444-2906.2000.00163.x,OpenAlex,2026-03-02 22:51:56.358631+00
